verse_id,volume_title,verse_title,word_count
1,Old Testament,Genesis 1:1,10
2,Old Testament,Genesis 1:2,29
3,Old Testament,Genesis 1:3,11
4,Old Testament,Genesis 1:4,17
5,Old Testament,Genesis 1:5,22
6,Old Testament,Genesis 1:6,23
7,Old Testament,Genesis 1:7,26
8,Old Testament,Genesis 1:8,16
9,Old Testament,Genesis 1:9,25
10,Old Testament,Genesis 1:10,24
11,Old Testament,Genesis 1:11,34
12,Old Testament,Genesis 1:12,33
13,Old Testament,Genesis 1:13,10
14,Old Testament,Genesis 1:14,34
15,Old Testament,Genesis 1:15,22
16,Old Testament,Genesis 1:16,26
17,Old Testament,Genesis 1:17,16
18,Old Testament,Genesis 1:18,25
19,Old Testament,Genesis 1:19,10
20,Old Testament,Genesis 1:20,29
21,Old Testament,Genesis 1:21,34
22,Old Testament,Genesis 1:22,23
23,Old Testament,Genesis 1:23,10
24,Old Testament,Genesis 1:24,30
25,Old Testament,Genesis 1:25,34
26,Old Testament,Genesis 1:26,50
27,Old Testament,Genesis 1:27,22
28,Old Testament,Genesis 1:28,46
29,Old Testament,Genesis 1:29,42
30,Old Testament,Genesis 1:30,39
31,Old Testament,Genesis 1:31,25
32,Old Testament,Genesis 2:1,14
33,Old Testament,Genesis 2:2,28
34,Old Testament,Genesis 2:3,25
35,Old Testament,Genesis 2:4,28
36,Old Testament,Genesis 2:5,44
37,Old Testament,Genesis 2:6,17
38,Old Testament,Genesis 2:7,27
39,Old Testament,Genesis 2:8,20
40,Old Testament,Genesis 2:9,43
41,Old Testament,Genesis 2:10,22
42,Old Testament,Genesis 2:11,21
43,Old Testament,Genesis 2:12,15
44,Old Testament,Genesis 2:13,20
45,Old Testament,Genesis 2:14,25
46,Old Testament,Genesis 2:15,22
47,Old Testament,Genesis 2:16,18
48,Old Testament,Genesis 2:17,29
49,Old Testament,Genesis 2:18,24
50,Old Testament,Genesis 2:19,44
51,Old Testament,Genesis 2:20,33
52,Old Testament,Genesis 2:21,29
53,Old Testament,Genesis 2:22,21
54,Old Testament,Genesis 2:23,27
55,Old Testament,Genesis 2:24,22
56,Old Testament,Genesis 2:25,14
57,Old Testament,Genesis 3:1,38
58,Old Testament,Genesis 3:2,19
59,Old Testament,Genesis 3:3,32
60,Old Testament,Genesis 3:4,12
61,Old Testament,Genesis 3:5,27
62,Old Testament,Genesis 3:6,51
63,Old Testament,Genesis 3:7,25
64,Old Testament,Genesis 3:8,39
65,Old Testament,Genesis 3:9,14
66,Old Testament,Genesis 3:10,22
67,Old Testament,Genesis 3:11,25
68,Old Testament,Genesis 3:12,23
69,Old Testament,Genesis 3:13,27
70,Old Testament,Genesis 3:14,43
